"Porta80","Scadenza_Cert","HTTPS_Attivo","Porta443","DNS_Attivo","Ping_OK","Dominio","IP"
"SI","19 nov 2025","SI","SI","SI","SI","vele.unicam.it","193.204.8.43"
"SI","29 mag 2025","SI","SI","SI","SI","vele2.unicam.it","193.204.8.39"
"SI","19 nov 2025","SI","SI","SI","SI","vela.unicam.it","193.204.8.43"
"NO","N/A","NO","NO","NO","NO","portalejosh.unicam.it",""
"NO","N/A","NO","NO","NO","NO","joshweb.unicam.it",""
"SI","19 nov 2025","SI","SI","SI","SI","ws.unicam.it","193.204.8.200"
"SI","19 nov 2025","SI","SI","SI","SI","docenti.unicam.it","193.204.8.200"
"NO","N/A","NO","NO","NO","NO","ricerca.unicam.it",""
"NO","N/A","NO","NO","NO","NO","careers.unicam.it",""
"NO","N/A","NO","NO","NO","NO","isconline.unicam.it",""
"SI","19 nov 2025","SI","SI","SI","SI","web.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","orario.unicam.it","193.204.8.43"
"SI","13 set 2021","SI","SI","SI","SI","formorientamento.unicam.it","172.16.0.17"
"SI","13 set 2021","SI","SI","SI","SI","inventario.unicam.it","172.16.0.17"
"SI","19 nov 2025","SI","SI","SI","NO","stage-placement.unicam.it","172.16.0.174"
"NO","N/A","NO","NO","SI","NO","d7.unicam.it","172.16.0.171"
"SI","19 nov 2025","SI","SI","SI","SI","polomuseale.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","isas.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","www.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","NO","apperasmus.unicam.it","172.16.0.174"
"SI","19 nov 2025","SI","SI","SI","NO","rws3.unicam.it","172.16.0.174"
"SI","19 nov 2025","SI","SI","SI","NO","stage.unicam.it","172.16.0.174"
"SI","19 nov 2025","SI","SI","SI","NO","dataentry.unicam.it","172.16.0.174"
"SI","19 nov 2025","SI","SI","SI","NO","missioni.unicam.it","172.16.0.174"
"SI","19 nov 2025","SI","SI","SI","SI","computerscience.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","convegni.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","sbmv.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","masterrisorsemarinecostiere.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","orientamento.unicam.it","193.205.92.184"
"SI","19 nov 2025","SI","SI","SI","SI","geologia.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","veterinaria.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","juris.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","sma.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","farmaco.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","scuolastudisuperiori.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","saad.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","international.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","masterorienta.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","sgq.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","polocivitanova.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","chimali2018.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","riservatorricchio.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","afg.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","masterwineexportmanagement.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","entervista.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","aripro.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","digitalsolutionsmanager.unicam.it","172.16.0.15"
"SI","19 nov 2025","SI","SI","SI","SI","cinfo.unicam.it","172.16.0.15"
"NO","N/A","NO","NO","SI","NO","unicamaster.unicam.it","172.16.0.10"
